OTT IP Matchback,Country,Region,latitude,longitude,zipcode
161.129.230.243,US,California,35.6409,-120.701,93446
35.132.83.147,US,California,35.3135,-120.8369,93402
47.32.137.170,US,California,35.3135,-120.8369,93402
35.132.83.147,US,California,35.3135,-120.8369,93402
24.23.23.155,US,California,36.7986,-119.8107,93704
12.221.87.194,US,California,35.6648,-121.1479,93452
199.88.191.90,US,California,35.1661,-120.4651,93420
99.42.105.18,US,California,36.7539,-119.7085,93727
71.84.106.206,US,California,35.0427,-120.476,93444
172.59.48.114,US,California,36.7986,-119.7617,93726
134.16.105.163,US,California,35.2865,-120.6822,93405
72.29.188.19,US,California,35.6409,-120.701,93446
67.174.46.7,US,California,36.7986,-119.7617,93726
47.45.116.241,US,California,35.2612,-120.655,93401
35.132.83.147,US,California,35.3135,-120.8369,93402
71.84.20.171,US,California,35.6409,-120.701,93446
73.192.141.221,US,California,36.7851,-119.825,93705
35.132.127.78,US,California,35.6409,-120.701,93446
35.131.88.26,US,California,35.6409,-120.701,93446
161.129.230.248,US,California,35.6409,-120.701,93446
104.180.5.58,US,California,36.8424,-119.6564,93619
35.131.88.26,US,California,35.6409,-120.701,93446
47.35.60.226,US,California,35.6409,-120.701,93446
207.62.152.205,US,California,35.2865,-120.6822,93405
67.36.58.243,US,California,35.2612,-120.655,93401
73.116.48.54,US,California,36.7539,-119.7085,93727
75.128.9.99,US,California,35.2612,-120.655,93401
108.90.129.70,US,California,36.8272,-119.6805,93611
24.4.15.119,US,California,34.9535,-120.4348,93454
71.84.17.9,US,California,35.6409,-120.701,93446
73.192.167.205,US,California,36.8272,-119.6805,93611
97.93.0.11,US,California,35.6409,-120.701,93446
172.59.50.242,US,California,36.7986,-119.7617,93726
107.127.14.10,US,California,36.7986,-119.7617,93726
68.249.42.121,US,California,35.4658,-120.6672,93422
47.32.134.62,US,California,35.0427,-120.476,93444
75.128.10.202,US,California,35.2612,-120.655,93401
97.84.71.118,US,California,35.4658,-120.6672,93422
71.94.42.34,US,California,35.2612,-120.655,93401
73.93.12.27,US,California,34.9504,-120.4964,93458
73.192.167.205,US,California,36.8272,-119.6805,93611
146.75.154.156,US,California,35.279,-120.6579,93408
97.93.12.201,US,California,35.4658,-120.6672,93422
35.131.88.26,US,California,35.6409,-120.701,93446
47.231.233.143,US,California,35.2612,-120.655,93401
107.127.14.81,US,California,36.7986,-119.7617,93726
38.95.237.57,US,California,35.6409,-120.701,93446
47.6.176.233,US,California,35.2865,-120.6822,93405
35.151.38.159,US,California,35.6409,-120.701,93446
172.93.118.212,US,California,36.6207,-119.7308,93725
71.93.243.193,US,California,35.5592,-121.0851,93428
71.93.39.138,US,California,35.6409,-120.701,93446
71.94.42.34,US,California,35.2612,-120.655,93401
76.14.42.219,US,California,35.123,-120.6193,93433
35.131.82.10,US,California,35.3787,-120.8457,93442
172.59.51.86,US,California,36.7637,-119.7602,93703
73.220.125.4,US,California,36.7943,-119.8856,93722
107.127.14.1,US,California,36.7986,-119.7617,93726
47.32.161.56,US,California,35.6409,-120.701,93446
35.131.65.107,US,California,35.123,-120.6193,93433
104.249.154.194,US,California,36.5691,-119.6191,93662
71.94.42.34,US,California,35.2612,-120.655,93401
71.94.42.34,US,California,35.2612,-120.655,93401
66.214.198.172,US,California,35.2612,-120.655,93401
35.132.121.206,US,California,35.2612,-120.655,93401
172.225.89.153,US,California,35.279,-120.6579,93408
47.32.134.195,US,California,35.1661,-120.4651,93420
73.151.117.60,US,California,36.8272,-119.6805,93611
73.185.61.186,US,California,36.708,-119.556,93657
68.189.5.204,US,California,35.3135,-120.8369,93402
73.41.33.133,US,California,36.7943,-119.8856,93722
107.127.14.126,US,California,36.7986,-119.7617,93726
73.66.35.54,US,California,36.7539,-119.7085,93727
172.12.156.111,US,California,36.7943,-119.8856,93722
98.239.98.233,US,California,36.7405,-119.7508,93702
24.2.50.75,US,California,36.7986,-119.7617,93726
146.75.154.157,US,California,35.279,-120.6579,93408
68.185.69.69,US,California,35.0427,-120.476,93444
47.231.207.132,US,California,35.4658,-120.6672,93422
35.131.88.26,US,California,35.6409,-120.701,93446
174.85.105.152,US,California,35.6409,-120.701,93446
172.59.51.190,US,California,36.7637,-119.7602,93703
12.215.164.27,US,California,35.5189,-120.5238,93432
24.180.9.2,US,California,35.6409,-120.701,93446
35.151.38.25,US,California,35.6409,-120.701,93446
73.151.117.60,US,California,36.5691,-119.6191,93662
172.59.48.114,US,California,36.7637,-119.7602,93703
104.249.154.194,US,California,36.5691,-119.6191,93662
99.110.183.198,US,California,35.5418,-120.7081,93465
97.84.70.47,US,California,35.4658,-120.6672,93422
172.59.49.34,US,California,36.7637,-119.7602,93703
71.94.42.34,US,California,35.2612,-120.655,93401
12.162.21.43,US,California,35.1661,-120.4651,93420
73.192.187.31,US,California,36.7539,-119.7085,93727
73.93.199.67,US,California,34.9504,-120.4964,93458
99.100.215.170,US,California,36.8321,-119.825,93711
174.85.106.241,US,California,35.6409,-120.701,93446
76.158.102.210,US,California,36.7539,-119.7085,93727
172.59.49.7,US,California,36.7986,-119.7617,93726
73.192.239.43,US,California,36.7539,-119.7085,93727
73.192.167.197,US,California,36.8424,-119.6564,93619
35.131.88.26,US,California,35.6409,-120.701,93446
47.6.176.233,US,California,35.2865,-120.6822,93405
35.131.88.26,US,California,35.6409,-120.701,93446
38.95.238.58,US,California,35.8594,-120.8012,93426
71.9.54.118,US,California,35.6409,-120.701,93446
174.87.89.27,US,California,35.3135,-120.8369,93402
146.75.154.157,US,California,35.279,-120.6579,93408
104.178.88.89,US,California,36.7539,-119.7085,93727
98.255.178.52,US,California,36.7943,-119.8856,93722
172.59.50.204,US,California,36.7637,-119.7602,93703
35.151.41.128,US,California,35.2865,-120.6822,93405
146.75.154.156,US,California,35.279,-120.6579,93408
76.224.230.191,US,California,36.8424,-119.6564,93619
73.185.127.62,US,California,36.7943,-119.8856,93722
23.227.120.46,US,California,36.708,-119.556,93657
172.59.48.114,US,California,36.7986,-119.7617,93726
76.20.64.190,US,California,36.8272,-119.6805,93611
35.131.88.26,US,California,35.6409,-120.701,93446
71.84.22.139,US,California,35.6409,-120.701,93446
172.59.49.55,US,California,36.7986,-119.7617,93726
97.94.155.171,US,California,35.6409,-120.701,93446
47.32.135.137,US,California,35.0427,-120.476,93444
73.48.146.245,US,California,36.7539,-119.7085,93727
76.14.41.117,US,California,35.3787,-120.8457,93442
97.84.70.47,US,California,35.4658,-120.6672,93422
12.46.101.94,US,California,35.1661,-120.4651,93420
174.87.134.141,US,California,35.3135,-120.8369,93402
66.169.224.142,US,California,35.2865,-120.6822,93405
174.87.87.91,US,California,35.2612,-120.655,93401
35.131.88.26,US,California,35.6409,-120.701,93446
73.48.230.44,US,California,36.7539,-119.7085,93727
172.59.51.73,US,California,36.7637,-119.7602,93703
97.86.129.209,US,California,35.2612,-120.655,93401
73.66.73.113,US,California,36.7943,-119.8856,93722
76.14.42.70,US,California,35.123,-120.6193,93433
47.7.63.158,US,California,35.2612,-120.655,93401
166.205.91.55,US,California,36.7576,-119.8086,93728
75.141.165.37,US,California,35.4658,-120.6672,93422
67.181.150.77,US,California,36.8243,-119.7662,93710
73.241.218.62,US,California,34.9535,-120.4348,93454
73.48.146.245,US,California,36.7539,-119.7085,93727
172.59.48.114,US,California,36.7637,-119.7602,93703
97.84.70.108,US,California,35.4658,-120.6672,93422
98.239.109.90,US,California,36.7943,-119.8856,93722
47.7.62.6,US,California,35.2612,-120.655,93401
35.131.88.26,US,California,35.6409,-120.701,93446